,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
0,"hey, soul sister",train,neo mellow,2010,97,89,67,-4,8,80,217,19,4,83
1,love the way you lie,eminem,detroit hip hop,2010,87,93,75,-5,52,64,263,24,23,82
2,tik tok,kesha,dance pop,2010,120,84,76,-3,29,71,200,10,14,80
3,bad romance,lady gaga,dance pop,2010,119,92,70,-4,8,71,295,0,4,79
5,baby,justin bieber,canadian pop,2010,65,86,73,-5,11,54,214,4,14,77
6,dynamite,taio cruz,dance pop,2010,120,78,75,-4,4,82,203,0,9,77
7,secrets,onerepublic,dance pop,2010,148,76,52,-6,12,38,225,7,4,77
8,empire state of mind (part ii) broken down,alicia keys,hip pop,2010,93,37,48,-8,12,14,216,74,3,76
9,only girl (in the world),rihanna,barbadian pop,2010,126,72,79,-4,7,61,235,13,4,73
10,club can't handle me (feat. david guetta),flo rida,dance pop,2010,128,87,62,-4,6,47,235,3,3,73
12,cooler than me - single mix,mike posner,dance pop,2010,130,82,77,-5,70,63,213,18,5,73
13,telephone,lady gaga,dance pop,2010,122,83,83,-6,11,71,221,1,4,73
14,like a g6,far east movement,dance pop,2010,125,84,44,-8,12,78,217,1,45,72
15,omg (feat. will.i.am),usher,atl hip hop,2010,130,75,78,-6,36,33,269,20,3,72
16,eenie meenie,sean kingston,dance pop,2010,121,61,72,-4,11,83,202,5,3,71
17,the time (dirty bit),the black eyed peas,dance pop,2010,128,81,82,-8,60,44,308,7,7,70
18,alejandro,lady gaga,dance pop,2010,99,80,63,-7,36,37,274,0,5,69
19,your love is my drug,kesha,dance pop,2010,120,61,83,-4,9,76,187,1,10,69
20,meet me halfway,the black eyed peas,dance pop,2010,130,63,80,-7,32,40,284,0,7,68
21,whataya want from me,adam lambert,australian pop,2010,186,68,44,-5,6,45,227,1,5,66
22,take it off,kesha,dance pop,2010,125,68,73,-5,9,74,215,0,3,66
23,misery,maroon 5,pop,2010,103,81,70,-5,22,73,216,0,4,65
24,all the right moves,onerepublic,dance pop,2010,146,95,53,-4,28,65,238,26,5,65
25,animal,neon trees,indie pop,2010,148,83,48,-6,38,74,212,0,4,65
26,naturally,selena gomez & the scene,dance pop,2010,133,90,61,-5,5,88,203,2,5,64
27,i like it,enrique iglesias,dance pop,2010,129,94,65,-3,6,73,231,2,9,63
28,teenage dream,katy perry,dance pop,2010,120,80,72,-5,13,59,228,2,4,63
29,california gurls,katy perry,dance pop,2010,125,75,79,-4,18,40,235,0,5,62
30,3,britney spears,dance pop,2010,135,71,70,-2,14,79,213,5,5,62
31,my first kiss - feat. ke$ha,3oh!3,dance pop,2010,138,89,68,-4,36,83,192,1,8,62
32,blah blah blah (feat. 3oh!3),kesha,dance pop,2010,120,84,75,-3,42,52,172,8,12,62
33,imma be,the black eyed peas,dance pop,2010,92,52,60,-7,31,41,258,18,37,62
34,try sleeping with a broken heart,alicia keys,hip pop,2010,111,82,50,-5,13,55,249,16,11,62
35,sexy bitch (feat. akon),david guetta,dance pop,2010,130,63,81,-5,13,80,196,8,5,61
36,bound to you - burlesque original motion picture soundtrack,christina aguilera,dance pop,2010,164,41,29,-5,13,7,264,83,3,61
37,if i had you,adam lambert,australian pop,2010,131,91,65,-4,37,79,228,1,11,59
38,rock that body,the black eyed peas,dance pop,2010,125,91,72,-6,43,84,269,2,10,59
39,dog days are over,florence + the machine,art pop,2010,150,81,50,-5,12,26,253,3,9,58
40,something's got a hold on me - burlesque original motion picture soundtrack,christina aguilera,dance pop,2010,150,85,51,-4,12,72,185,47,27,58
41,doesn't mean anything,alicia keys,hip pop,2010,104,41,71,-7,10,10,273,4,3,57
42,hard,rihanna,barbadian pop,2010,182,75,31,-4,65,16,251,1,11,57
